Dataset di provenienza;tipo_metafora;testo;etichetta;argomento;veicolo;;;;;;;;;;
Dataset_MoveMe;Predicate;Gregorio segue la guida dentro al museo;0;guida;segue;;;;;;;;;;
Dataset_MoveMe;Predicate;Il ragazzo fugge dal castello sulla collina ;0;ragazzo;fugge;;;;;;;;;;
Dataset_MoveMe;Predicate;Giulia percorre il sentiero di montagna;0;Giulia;percorre;;;;;;;;;;
Dataset_MoveMe;Predicate;Paolo attraversa la strada con attenzione;0;strada;attraversa;;;;;;;;;;
Dataset_MoveMe;Predicate;La studentessa arriva a scuola a piedi;0;studentessa;arriva;;;;;;;;;;
Dataset_MoveMe;Predicate;Edoardo salta il ruscello per gioco;0;ruscello;salta;;;;;;;;;;
Dataset_MoveMe;Predicate;Il viaggiatore giunge alla casa in campagna;0;viaggiatore;giunge;;;;;;;;;;
Dataset_MoveMe;Predicate;Il preside entra in aula all' improvviso;0;preside;entra;;;;;;;;;;
Dataset_MoveMe;Predicate;La sposa avanza tra gli invitati in chiesa;0;sposa;avanza;;;;;;;;;;
Dataset_MoveMe;Predicate;Sabrina passa da una bancarella all' altra;0;Sabrina;passa;;;;;;;;;;
Dataset_MoveMe;Predicate;L' atleta raggiunge il traguardo per primo;0;traguardo;raggiunge;;;;;;;;;;
Dataset_MoveMe;Predicate;Nicoletta scende le scale del condominio;0;Nicoletta;scende;;;;;;;;;;
Dataset_MoveMe;Predicate;Alessio inciampa nelle stringhe delle scarpe;0;Alessio;inciampa;;;;;;;;;;
Dataset_MoveMe;Predicate;Lucia esce dallo spogliatoio della palestra;0;Lucia;esce;;;;;;;;;;
Dataset_MoveMe;Predicate;Dario perlustra la cantina con la torcia;0;cantina;perlustra;;;;;;;;;;
Dataset_MoveMe;Predicate;Il pellegrino girovaga nei sentieri di campagna ;0;pellegrino;girovaga;;;;;;;;;;
Dataset_MoveMe;Predicate;Il maratoneta arranca verso la linea d' arrivo;0;maratoneta;arranca;;;;;;;;;;
Dataset_MoveMe;Predicate;Alberto scivola sul pavimento del bagno;0;Alberto;scivola;;;;;;;;;;
Dataset_MoveMe;Predicate;Il rapinatore sgattaiola dalla porta sul retro;0;rapinatore;sgattaiola;;;;;;;;;;
Dataset_MoveMe;Predicate;Il ladro scappa dalla polizia con il furgone;0;ladro;scappa;;;;;;;;;;
Dataset_MoveMe;Predicate;Claudio pedala sulla bicicletta del fratello;0;Claudio;pedala;;;;;;;;;;
Dataset_MoveMe;Predicate;La donna pesta l' uva durante la vendemmia;0;uva;pesta;;;;;;;;;;
Dataset_MoveMe;Predicate;Bianca scalcia il copriletto nel sonno;0;copriletto;scalcia;;;;;;;;;;
Dataset_MoveMe;Predicate;Beatrice passeggia tra i negozi del centro;0;Beatrice;passeggia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli aliti sono fogne;1;alito;fogna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli avvocati sono squali;1;avvocato;squalo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli eserciti sono dighe ;1;esercito;diga;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli oratori sono treni ;1;oratore;treno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli scalatori sono scoiattoli;1;scalatore;scoiattolo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli schiaffi sono medicine ;1;schiaffo ;medicina;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli uragani sono carrarmati ;1;uragano;carrarmato;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei bambini sono fontane ;1;bambino;fontana;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei banchieri sono vampiri ;1;banchiere;vampiro;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei barbieri sono chirurghi ;1;barbiere;chirurgo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei colleghi sono zecche ;1;collega;zecca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei delitti sono rebus ;1;delitto;rebus;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei ginnasti sono grilli ;1;ginnasta;grillo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei giocatori sono elefanti ;1;giocatore;elefante;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei giornalisti sono avvoltoi ;1;giornalista;avvoltoio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei libri sono bussole ;1;libro;bussola;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei maestri sono lanterne ;1;maestro;lanterna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei politici sono calamite ;1;politico;calamita;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei portinai sono archivi ;1;portinaio;archivio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei professori sono enciclopedie ;1;professore;enciclopedia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei ricordi sono spine ;1;ricordo;spina;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei soldati sono leoni;1;soldato;leone;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei viaggi sono terapie ;1;viaggio;terapia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle acconciature sono cespugli ;1;acconciatura;cespuglio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle automobili sono frecce;1;automobile;freccia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle ballerine sono farfalle ;1;ballerina;farfalla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle biblioteche sono miniere ;1;biblioteca;miniera;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle borse sono macigni ;1;borsa;macigno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle canzoni sono droghe;1;canzone;droga;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle carezze sono balsami ;1;carezza;balsamo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle città sono giungle ;1;città;giungla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle fanciulle sono rose ;1;fanciulla;rosa;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle giacche sono forni;1;giacca;forno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle guance sono pesche ;1;guancia;pesca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle indossatrici sono bambole ;1;indossatrice;bambola;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle lezioni sono sonniferi ;1;lezione;sonnifero;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle malattie sono cecchini ;1;malattia;cecchino;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle melodie sono camomille ;1;melodia;camomilla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle notizie sono terremoti ;1;notizia;terremoto;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle tasche sono banche ;1;tasca;banca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle torte sono montagne ;1;torta;montagna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle voci sono trombe;1;voce;tromba;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli scarichi sono fogne;0;scarico;fogna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei pesci sono squali;0;pesce;squalo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle costruzioni sono dighe;0;costruzione;diga;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei convogli sono treni ;0;convoglio;treno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei roditori sono scoiattoli ;0;roditore;scoiattolo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle sostanze sono medicine ;0;sostanza;medicina;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei blindati sono carrarmati ;0;blindato;carrarmato;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli impianti sono fontane;0;impianto;fontana;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei mostri sono vampiri ;0;mostro;vampiro;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei medici sono chirurghi ;0;medico;chirurgo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei parassiti sono zecche ;0;parassita;zecca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli indovinelli sono rebus ;0;indovinello;rebus;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli insetti sono grilli ;0;insetto;grillo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei mammiferi sono elefanti ;0;mammifero;elefante;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei predatori sono avvoltoi;0;predatore;avvoltoio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei dispositivi sono bussole ;0;dispositivo;bussola;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle lampade sono lanterne;0;lampada;lanterna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli oggetti sono calamite ;0;oggetto;calamita;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli schedari sono archivi ;0;schedario;archivio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei volumi sono enciclopedie ;0;volume;enciclopedia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle punte sono spine;0;punta;spina;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei felini sono leoni ;0;felino;leone;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei trattamenti sono terapie ;0;trattamento;terapia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle siepi sono cespugli ;0;siepe;cespuglio;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle armi sono frecce ;0;arma;freccia;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli animali sono farfalle ;0;animale;farfalla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle cave sono miniere ;0;cava;miniera;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle pietre sono macigni ;0;pietra;macigno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle pasticche sono droghe ;0;pasticca;droga;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei detergenti sono balsami ;0;detergente;balsamo;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle foreste sono giungle ;0;foresta;giungla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei fiori sono rose ;0;fiore;rosa;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli elettrodomestici sono forni ;0;elettrodomestico;forno;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei frutti sono pesche;0;frutto;pesca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei pupazzi sono bambole ;0;pupazzo;bambola;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle pillole sono sonniferi ;0;pillola;sonnifero;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei militari sono cecchini ;0;militare;cecchino;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle bevande sono camomille ;0;bevanda;camomilla;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quelle scosse sono terremoti ;0;scossa;terremoto;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli istituti sono banche;0;istituto;banca;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quei rilievi sono montagne ;0;rilievo;montagna;;;;;;;;;;
Dataset_Bambini2013;Nominal predicative;Quegli strumenti sono trombe ;0;strumento;tromba;;;;;;;;;;
Dataset_Bambini2014;Genitive;abbraccio del sonno;1;abbraccio;sonno;;;;;;;;;;
Dataset_Bambini2014;Genitive;affanno dei venti;1;affanno;venti;;;;;;;;;;
Dataset_Bambini2014;Genitive;alba di perla;1;alba;perla;;;;;;;;;;
Dataset_Bambini2014;Genitive;albero di nuvole;1;albero;nuvole;;;;;;;;;;
Dataset_Bambini2014;Genitive;ali del ramo;1;ali;ramo;;;;;;;;;;
Dataset_Bambini2014;Genitive;alito di sepolcro;1;alito;sepolcro;;;;;;;;;;
Dataset_Bambini2014;Genitive;anello delle labbra;1;anello;labbra;;;;;;;;;;
Dataset_Bambini2014;Genitive;bacio di marmo;1;bacio;marmo;;;;;;;;;;
Dataset_Bambini2014;Genitive;balbettio del mare;1;balbettio;mare;;;;;;;;;;
Dataset_Bambini2014;Genitive;bara di ghiaccio;1;bara;ghiaccio;;;;;;;;;;
Dataset_Bambini2014;Genitive;barba di rame;1;barba;rame;;;;;;;;;;
Dataset_Bambini2014;Genitive;brivido di ferro;1;brivido;ferro;;;;;;;;;;
Dataset_Bambini2014;Genitive;canto della tenebra;1;canto;tenebra;;;;;;;;;;
Dataset_Bambini2014;Genitive;canto dell'acqua;1;canto;acqua;;;;;;;;;;
Dataset_Bambini2014;Genitive;canto delle foglie;1;canto;foglie;;;;;;;;;;
Dataset_Bambini2014;Genitive;capriole di fumo;1;capriole;fumo;;;;;;;;;;
Dataset_Bambini2014;Genitive;cecità del sonno;1;cecità;sonno;;;;;;;;;;
Dataset_Bambini2014;Genitive;cielo d'ambra;1;cielo;ambra;;;;;;;;;;
Dataset_Bambini2014;Genitive;cielo di perla;1;cielo;perla;;;;;;;;;;
Dataset_Bambini2014;Genitive;cielo d'oro;1;cielo;oro;;;;;;;;;;
Dataset_Bambini2014;Genitive;cime dello spirito;1;cime;spirito;;;;;;;;;;
Dataset_Bambini2014;Genitive;colore di pianto;1;colore;pianto;;;;;;;;;;
Dataset_Bambini2014;Genitive;corona di nebbia;1;corona;nebbia;;;;;;;;;;
Dataset_Bambini2014;Genitive;cuore di diamante;1;cuore;diamante;;;;;;;;;;
Dataset_Bambini2014;Genitive;faccia di limone;1;faccia;limone;;;;;;;;;;
Dataset_Bambini2014;Genitive;fantasmi di pace;1;fantasmi;pace;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiamma dell'idea;1;fiamma;idea;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiati delle rose;1;fiati;rose;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiato di primavera;1;fiato;primavera;;;;;;;;;;
Dataset_Bambini2014;Genitive;fili di pioggia;1;fili;pioggia;;;;;;;;;;
Dataset_Bambini2014;Genitive;finestra dell'anima;1;finestra;anima;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiocchi di nuvole;1;fiocchi;nuvole;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiocco di luna;1;fiocco;luna;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiore della fiamma;1;fiore;fiamma;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiore di fede;1;fiore;fede;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiori del sangue;1;fiori;sangue;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiume di luce;1;fiume;luce;;;;;;;;;;
Dataset_Bambini2014;Genitive;fiume di sole;1;fiume;sole;;;;;;;;;;
Dataset_Bambini2014;Genitive;folla di pietra;1;folla;pietra;;;;;;;;;;
Dataset_Bambini2014;Genitive;foreste d'oro;1;foreste;oro;;;;;;;;;;
Dataset_Bambini2014;Genitive;fumo dei pensieri;1;fumo;pensieri;;;;;;;;;;
Dataset_Bambini2014;Genitive;fuochi di gioia;1;fuochi;gioia;;;;;;;;;;
Dataset_Bambini2014;Genitive;goccia di luce;1;goccia;luce;;;;;;;;;;
Dataset_Bambini2014;Genitive;gomito di ramo;1;gomito;ramo;;;;;;;;;;
Dataset_Bambini2014;Genitive;gradini del pensiero;1;gradini;pensiero;;;;;;;;;;
Dataset_Bambini2014;Genitive;grappoli di mondi;1;grappoli;mondi;;;;;;;;;;
Dataset_Bambini2014;Genitive;grappolo di nidi;1;grappolo;nidi;;;;;;;;;;
Dataset_Bambini2014;Genitive;grido dell'anima;1;grido;anima;;;;;;;;;;
Dataset_Bambini2014;Genitive;grido delle campane;1;grido;campane;;;;;;;;;;
Dataset_Bambini2014;Genitive;grido di tempesta;1;grido;tempesta;;;;;;;;;;
Dataset_Bambini2014;Genitive;labbra di rubino;1;labbra;rubino;;;;;;;;;;
Dataset_Bambini2014;Genitive;lama di buio;1;lama;buio;;;;;;;;;;
Dataset_Bambini2014;Genitive;lampadina di fede;1;lampadina;fede;;;;;;;;;;
Dataset_Bambini2014;Genitive;lava di ghiaccio;1;lava;ghiaccio;;;;;;;;;;
Dataset_Bambini2014;Genitive;matassa di pasta;1;matassa;pasta;;;;;;;;;;
Dataset_Bambini2014;Genitive;miele dell'oblio;1;miele;oblio;;;;;;;;;;
Dataset_Bambini2014;Genitive;morso del pettine;1;morso;pettine;;;;;;;;;;
Dataset_Bambini2014;Genitive;naso di madreperla;1;naso;madreperla;;;;;;;;;;
Dataset_Bambini2014;Genitive;nidi d'illusione;1;nidi;illusione;;;;;;;;;;
Dataset_Bambini2014;Genitive;nodo d'angoscia;1;nodo;angoscia;;;;;;;;;;
Dataset_Bambini2014;Genitive;nuvole di fuoco;1;nuvole;fuoco;;;;;;;;;;
Dataset_Bambini2014;Genitive;nuvole di rami;1;nuvole;rami;;;;;;;;;;
Dataset_Bambini2014;Genitive;oasi di capelli;1;oasi;capelli;;;;;;;;;;
Dataset_Bambini2014;Genitive;oblio della valle;1;oblio;valle;;;;;;;;;;
Dataset_Bambini2014;Genitive;occhi d'acciaio;1;occhi;acciaio;;;;;;;;;;
Dataset_Bambini2014;Genitive;occhi di carbone;1;occhi;carbone;;;;;;;;;;
Dataset_Bambini2014;Genitive;occhio del pensiero;1;occhio;pensiero;;;;;;;;;;
Dataset_Bambini2014;Genitive;occhio di stelle;1;occhio;stelle;;;;;;;;;;
Dataset_Bambini2014;Genitive;ombra del vento;1;ombra;vento;;;;;;;;;;
Dataset_Bambini2014;Genitive;ombra di tristezza;1;ombra;tristezza;;;;;;;;;;
Dataset_Bambini2014;Genitive;ombre di pace;1;ombre;pace;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda della musica;1;onda;musica;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda della preghiera;1;onda;preghiera;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda di lamento;1;onda;lamento;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda di parole;1;onda;parole;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda di riconoscenza;1;onda;riconoscenza;;;;;;;;;;
Dataset_Bambini2014;Genitive;onda di tristezza;1;onda;tristezza;;;;;;;;;;
Dataset_Bambini2014;Genitive;onde di venti;1;onde;venti;;;;;;;;;;
Dataset_Bambini2014;Genitive;pianto di stelle;1;pianto;stelle;;;;;;;;;;
Dataset_Bambini2014;Genitive;piede di vento;1;piede;vento;;;;;;;;;;
Dataset_Bambini2014;Genitive;pioggia di rose;1;pioggia;rose;;;;;;;;;;
Dataset_Bambini2014;Genitive;ponte d'argento;1;ponte;argento;;;;;;;;;;
Dataset_Bambini2014;Genitive;prato di velluto;1;prato;velluto;;;;;;;;;;
Dataset_Bambini2014;Genitive;rami d'oro;1;rami;oro;;;;;;;;;;
Dataset_Bambini2014;Genitive;respiro del mare;1;respiro;mare;;;;;;;;;;
Dataset_Bambini2014;Genitive;ruggine del fiato;1;ruggine;fiato;;;;;;;;;;
Dataset_Bambini2014;Genitive;ruscello di rose;1;ruscello;rose;;;;;;;;;;
Dataset_Bambini2014;Genitive;sangue dei vulcani;1;sangue;vulcani;;;;;;;;;;
Dataset_Bambini2014;Genitive;schermo di stoffa;1;schermo;stoffa;;;;;;;;;;
Dataset_Bambini2014;Genitive;scintilla di senape;1;scintilla;senape;;;;;;;;;;
Dataset_Bambini2014;Genitive;semi di dolore;1;semi;dolore;;;;;;;;;;
Dataset_Bambini2014;Genitive;siepe di granito;1;siepe;granito;;;;;;;;;;
Dataset_Bambini2014;Genitive;siepe di scrupoli;1;siepe;scrupoli;;;;;;;;;;
Dataset_Bambini2014;Genitive;silenzio degli occhi;1;silenzio;occhi;;;;;;;;;;
Dataset_Bambini2014;Genitive;soffio di paura;1;soffio;paura;;;;;;;;;;
Dataset_Bambini2014;Genitive;squillo di vetri;1;squillo;vetri;;;;;;;;;;
Dataset_Bambini2014;Genitive;stagno di buio;1;stagno;buio;;;;;;;;;;
Dataset_Bambini2014;Genitive;stracci di nubi;1;stracci;nubi;;;;;;;;;;
Dataset_Bambini2014;Genitive;sussurro dei rami;1;sussurro;rami;;;;;;;;;;
Dataset_Bambini2014;Genitive;terrazza di desolazione;1;terrazza;desolazione;;;;;;;;;;
Dataset_Bambini2014;Genitive;teschio di corallo;1;teschio;corallo;;;;;;;;;;
Dataset_Bambini2014;Genitive;tessuto di fumi;1;tessuto;fumi;;;;;;;;;;
Dataset_Bambini2014;Genitive;torrente di gioia;1;torrente;gioia;;;;;;;;;;
Dataset_Bambini2014;Genitive;torrente di voci;1;torrente;voci;;;;;;;;;;
Dataset_Bambini2014;Genitive;tramonti di sangue;1;tramonti;sangue;;;;;;;;;;
Dataset_Bambini2014;Genitive;uragano di sangue;1;uragano;sangue;;;;;;;;;;
Dataset_Bambini2014;Genitive;valle del sonno;1;valle;sonno;;;;;;;;;;
Dataset_Bambini2014;Genitive;velluto dell'ombra;1;velluto;ombra;;;;;;;;;;
Dataset_Bambini2014;Genitive;velo d'acqua;1;velo;acqua;;;;;;;;;;
Dataset_Bambini2014;Genitive;velo d'ombra;1;velo;ombra;;;;;;;;;;
Dataset_Bambini2014;Genitive;vene della terra;1;vene;terra;;;;;;;;;;
Dataset_Bambini2014;Genitive;voci dei fiumi;1;voci;fiumi;;;;;;;;;;
Dataset_Bambini2014;Genitive;volo del cuore;1;volo;cuore;;;;;;;;;;
Dataset_Bambini2014;Genitive;volto di fiamma;1;volto;fiamma;;;;;;;;;;
Dataset_Bambini2014;Genitive;zuffa di clamori;1;zuffa;clamori;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'alito? È una fogna;1;alito;fogna;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'esercito? È una diga;1;esercito;diga;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'uragano? È un carrarmato;1;uragano;carrarmato;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel collega? È una zecca;1;collega;zecca;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel soldato? È un leone;1;soldato;leone;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'acconciatura? È un cespuglio;1;acconciatura;cespuglio;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella carezza? È un balsamo;1;detergente;balsamo;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella fanciulla? È una rosa;1;fanciulla;rosa;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella lezione? È un sonnifero;1;lezione;sonnifero;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella malattia? È un cecchino;1;malattia;cecchino;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella melodia? È una camomilla;1;melodia;camomilla;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella notizia? È un terremoto;1;notizia;terremoto;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel matrimonio? È una quercia;1;matrimonio;quercia;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella nuvola? È una madreperla;1;nuvola;madreperla;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'allegria? È una calamita;1;allegria;calamita;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel bacio? È una peperoncino;1;bacio;peperoncino;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel bimbetto? È una colla;1;bimbetto;colla;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella coda? È una processione;1;coda;processione;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel traffico? È una marmellata;1;traffico;marmellata;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel venditore? È un'ortica;1;venditore;ortica;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella bocca? È una fragola;1;bocca;fragola;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella punizione? È una medicina;1;punizione;medicina;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel cappello? È un faro;1;cappello;faro;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel giornalista? È una iena;1;giornalista;iena;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel videogioco? È una droga;1;videogioco;droga;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'ideale? È un granito;1;ideale;granito;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel taschino? È una banca;1;taschino;banca;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel pubblico? È un'antenna;1;pubblico;antenna;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel pigiama? È un termosifone;1;pigiama;termosifone;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'aguzzino? È un avvoltoio;1;aguzzino;avvoltoio;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'emicrania? È un trapano;1;emicrania;trapano;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella mente? È un rebus;1;mente;rebus;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel naso? È un tartufo;1;naso;tartufo;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel postino? È un cronometro;1;postino;cronometro;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'archivio? È una miniera;1;archivio;miniera;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella locomotiva? È un drago;1;locomotiva;drago;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella suocera? È una vipera;1;suocera;vipera;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quello scienziato? È un orso;1;scienziato;orso;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella lirica? È un telegramma;1;lirica;telegramma;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella ruga? È un burrone;1;ruga;burrone;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel lago? È un cristallo;1;lago;cristallo;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel sorriso? È una stella;1;sorriso;stella;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quel progresso? È un treno;1;progresso;treno;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella neve? È un sorbetto;1;neve;sorbetto;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quella faccenda? È una matassa;1;faccenda;matassa;;;;;;;;;;
Dataset_Bambini2016;Nominal predicative;Sai che cos'è quell'erba? È un velluto;1;erba;velluto;;;;;;;;;;
